fips,pop_density
1.204100000000000000e+04,4.839999999999999858e+01
1.204300000000000000e+04,1.600000000000000000e+01
1.204500000000000000e+04,2.810000000000000142e+01
1.204700000000000000e+04,2.880000000000000071e+01
1.204900000000000000e+04,4.350000000000000000e+01
1.205100000000000000e+04,3.400000000000000000e+01
1.205300000000000000e+04,3.656000000000000227e+02
1.205500000000000000e+04,9.720000000000000284e+01
1.205700000000000000e+04,1.204900000000000091e+03
1.205900000000000000e+04,4.160000000000000142e+01
1.206100000000000000e+04,2.745000000000000000e+02
1.206300000000000000e+04,5.420000000000000284e+01
1.206500000000000000e+04,2.469999999999999929e+01
1.206700000000000000e+04,1.630000000000000071e+01
1.206900000000000000e+04,3.166000000000000227e+02
1.207100000000000000e+04,7.887000000000000455e+02
1.207300000000000000e+04,4.131000000000000227e+02
1.207500000000000000e+04,3.650000000000000000e+01
1.207700000000000000e+04,1.000000000000000000e+01
1.207900000000000000e+04,2.760000000000000142e+01
1.208100000000000000e+04,4.345000000000000000e+02
1.208300000000000000e+04,2.090999999999999943e+02
1.208500000000000000e+04,2.691999999999999886e+02
1.208600000000000000e+04,1.315500000000000000e+03
1.208700000000000000e+04,7.429999999999999716e+01
1.208900000000000000e+04,1.130000000000000000e+02
1.209100000000000000e+04,1.944000000000000057e+02
1.209300000000000000e+04,5.200000000000000000e+01
1.209500000000000000e+04,1.268500000000000000e+03
1.209700000000000000e+04,2.024000000000000057e+02
1.209900000000000000e+04,6.702000000000000455e+02
1.210100000000000000e+04,6.222000000000000455e+02
1.210300000000000000e+04,3.347500000000000000e+03
1.210500000000000000e+04,3.348999999999999773e+02
1.210700000000000000e+04,1.022000000000000028e+02
1.210900000000000000e+04,3.163999999999999773e+02
1.211100000000000000e+04,4.856999999999999886e+02
1.211300000000000000e+04,1.495999999999999943e+02
1.211500000000000000e+04,6.826000000000000227e+02
1.211700000000000000e+04,1.367000000000000000e+03
1.211900000000000000e+04,1.708000000000000114e+02
1.212100000000000000e+04,6.029999999999999716e+01
1.212300000000000000e+04,2.160000000000000142e+01
1.212500000000000000e+04,6.379999999999999716e+01
1.212700000000000000e+04,4.491999999999999886e+02
1.212900000000000000e+04,5.079999999999999716e+01
1.213100000000000000e+04,5.300000000000000000e+01
1.213300000000000000e+04,4.270000000000000284e+01
1.300100000000000000e+04,3.600000000000000000e+01
1.300300000000000000e+04,2.469999999999999929e+01
1.300500000000000000e+04,4.289999999999999858e+01
1.300700000000000000e+04,1.009999999999999964e+01
1.300900000000000000e+04,1.773000000000000114e+02
1.301100000000000000e+04,7.929999999999999716e+01
1.301300000000000000e+04,4.326999999999999886e+02
1.301500000000000000e+04,2.179000000000000057e+02
1.301700000000000000e+04,7.050000000000000000e+01
1.301900000000000000e+04,4.270000000000000284e+01
1.302100000000000000e+04,6.227999999999999545e+02
1.302300000000000000e+04,6.050000000000000000e+01
1.302500000000000000e+04,4.160000000000000142e+01
1.302700000000000000e+04,3.289999999999999858e+01
1.302900000000000000e+04,6.929999999999999716e+01
1.303100000000000000e+04,1.044000000000000057e+02
1.303300000000000000e+04,2.819999999999999929e+01
1.303500000000000000e+04,1.283000000000000114e+02
1.303700000000000000e+04,2.389999999999999858e+01
